project,tool,command
bazelbuild_vscode-bazel,buildkite,---
tasks:
  ubuntu1804:
    shell_commands:
      # Install Node.js and NPM
      - "curl -fsSL https://deb.nodesource.com/setup_14.x | sudo -E bash - && sudo apt -y install nodejs && sudo npm install -g npm@latest"
      # Install node_modules and then compile and check the code for lint
      # errors.
      - npm ci
      - npm run compile
      - npm run check-lint
      # TODO(allevato): Add a prettier check to verify that *.ts files don't
      # differ from their prettier output. We need `prettier-tslint` so that
      # prettier will obey our tslint config, but it doesn't support
      # Typescript 3 yet.
      # (https://github.com/azz/prettier-tslint/issues/18)
    build_targets:
      - "//:dummy_target_for_ci"

pytorch_pytorch,github-actions,-test:
pytorch_pytorch,github-actions,-test
pytorch_pytorch,github-actions,-build-test.yml
pytorch_pytorch,github-actions,-test
pytorch_pytorch,github-actions,on:
pytorch_pytorch,github-actions,-testlogs symlink to
pytorch_pytorch,github-actions,-testlogs ./test/test-reports'
pytorch_pytorch,github-actions,-${{ github.job }}_${{ steps.get-job-id.outputs.job-id }}
pytorch_pytorch,circleci,_build:
pytorch_pytorch,circleci,Build
pytorch_pytorch,circleci,to avoid collisions
pytorch_pytorch,circleci,-${CIRCLE_SHA1}
pytorch_pytorch,circleci,_test:
pytorch_pytorch,circleci,-${CIRCLE_SHA1}
pytorch_pytorch,circleci,-testlogs ./ || echo 'No test reports found!'
pytorch_pytorch,circleci,-testlogs
pytorch_pytorch,circleci,_build:
pytorch_pytorch,circleci,Build
pytorch_pytorch,circleci,to avoid collisions
pytorch_pytorch,circleci,-${CIRCLE_SHA1}
pytorch_pytorch,circleci,_test:
pytorch_pytorch,circleci,-${CIRCLE_SHA1}
pytorch_pytorch,circleci,-testlogs ./ || echo 'No test reports found!'
pytorch_pytorch,circleci,-testlogs
buchgr_bazel-remote,github-actions,-remote-linux-amd64
buchgr_bazel-remote,github-actions,-remote-linux-amd64
buchgr_bazel-remote,github-actions,-remote-linux-arm64
buchgr_bazel-remote,github-actions,-remote-linux-arm64
buchgr_bazel-remote,github-actions,-remote-linux-amd64
buchgr_bazel-remote,github-actions,-remote-${{ steps.release_version.outputs.VERSION }}-linux-x86_64
buchgr_bazel-remote,github-actions,-remote-linux-arm64
buchgr_bazel-remote,github-actions,-remote-${{ steps.release_version.outputs.VERSION }}-linux-arm64
buchgr_bazel-remote,github-actions,-remote-darwin-amd64
buchgr_bazel-remote,github-actions,-remote-darwin-amd64
buchgr_bazel-remote,github-actions,-remote-darwin-arm64
buchgr_bazel-remote,github-actions,-remote-darwin-arm64
buchgr_bazel-remote,github-actions,-remote-darwin-amd64
buchgr_bazel-remote,github-actions,-remote-${{ steps.release_version.outputs.VERSION }}-darwin-x86_64
buchgr_bazel-remote,github-actions,-remote-darwin-arm64
buchgr_bazel-remote,github-actions,-remote-${{ steps.release_version.outputs.VERSION }}-darwin-arm64
buchgr_bazel-remote,buildkite,---
validate_config: 1
buildifier:
  version: latest
  warnings: "all"
tasks:
  ubuntu1804:
    platform: ubuntu1804
    build_targets:
      - "//:bazel-remote"
      - "//:bazel-remote-image"
    test_targets:
      - "..."
  ubuntu2004:
    platform: ubuntu2004
    build_targets:
      - "//:bazel-remote"
      - "//:bazel-remote-image"
    test_targets:
      - "..."
  macos:
    platform: macos
    build_targets:
      # Skip the (linux) container image targets, just build the binary.
      - "//:bazel-remote"
    test_targets:
      - "..."
  # A series of checks, each in a separate job due to
  # https://github.com/bazelbuild/continuous-integration/issues/938
  check_modules:
    platform: ubuntu2004
    name: "gazelle-update-repos"
    shell_commands:
      - "bazel run //:gazelle-update-repos"
      - "echo check if deps.bzl is up to date"
      - "git diff --exit-code" # If there is a diff, fail.
  check_gofmt:
    platform: ubuntu2004
    name: "go fmt"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Check go format"
      - "PATH=$HOME/go/bin:$PATH .bazelci/check-gofmt.sh `find . -name '*.go'`"
  check_go_vet:
    platform: ubuntu2004
    name: "go vet"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Check go vet"
      - "PATH=$HOME/go/bin:$PATH go vet ./..."
  check_go_test_race:
    platform: ubuntu2004
    name: "go test --race"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Running go test with race detector"
      - "PATH=$HOME/go/bin:$PATH go test -race ./..."
  end_to_end_test_go:
    platform: ubuntu2004
    name: "end-to-end test - pure go zstd"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Run end-to-end system test - pure go zstd"
      - "PATH=$HOME/go/bin:$PATH timeout 30m .bazelci/system-test.sh"
  end_to_end_test_cgo:
    platform: ubuntu2004
    name: "end-to-end test - cgo zstd"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Run end-to-end system test - cgo zstd"
      - "PATH=$HOME/go/bin:$PATH EXTRA_FLAGS=\"--zstd_implementation=cgo\" timeout 30m .bazelci/system-test.sh"
  tls_tests:
    platform: ubuntu2004
    name: "TLS tests"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Run TLS tests"
      - "PATH=$HOME/go/bin:$PATH timeout 30m .bazelci/tls-tests.sh"
  basic_auth_tests:
    platform: ubuntu2004
    name: "basic auth tests"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Run basic auth tests"
      - "PATH=$HOME/go/bin:$PATH timeout 30m .bazelci/basic-auth-tests.sh"
  migration_tests:
    platform: ubuntu2004
    name: "migration tests"
    shell_commands:
      - ".bazelci/buildkite-install-go.sh"
      - "echo +++ Run migration tests"
      - "PATH=$HOME/go/bin:$PATH timeout 10m .bazelci/migration-test.sh"

johnynek_bazel-deps,github-actions,-deps-macos
johnynek_bazel-deps,github-actions,_installer_sha: b4c94148f52854b89cff5de38a9eeeb4b0bcb3fb3a027330c46c468d9ea0898b
johnynek_bazel-deps,github-actions,_version: 2.1.1
johnynek_bazel-deps,github-actions,-deps-linux
johnynek_bazel-deps,github-actions,_installer_sha: d6cea18d59e9c90c7ec417b2645834f968132de16d0022c7439b1e60438eb8c9
johnynek_bazel-deps,github-actions,_version: 2.1.1
johnynek_bazel-deps,github-actions,output cache
johnynek_bazel-deps,github-actions,uses: actions/cache@v1
johnynek_bazel-deps,github-actions,-cache"
johnynek_bazel-deps,github-actions,-out-${{ github.run_id}}
johnynek_bazel-deps,github-actions,-out-
johnynek_bazel-deps,github-actions,config for actions
johnynek_bazel-deps,github-actions,rc
johnynek_bazel-deps,github-actions,rc
johnynek_bazel-deps,github-actions,rc
johnynek_bazel-deps,github-actions,run: ./ci_scripts/ci_install_bazel.sh
johnynek_bazel-deps,github-actions,_version }}
johnynek_bazel-deps,github-actions,_installer_sha }}
johnynek_bazel-deps,github-actions,-bin"
johnynek_bazel-deps,github-actions,_version }}
johnynek_bazel-deps,github-actions,_installer_sha }}
johnynek_bazel-deps,github-actions,-bin"
johnynek_bazel-deps,github-actions,-deps
johnynek_bazel-deps,github-actions,-deps-linux
johnynek_bazel-deps,github-actions,-deps
johnynek_bazel-deps,github-actions,-deps-macos
johnynek_bazel-deps,github-actions,-deps-macos
johnynek_bazel-deps,github-actions,-deps-macos.sha256
johnynek_bazel-deps,github-actions,-deps-linux
johnynek_bazel-deps,github-actions,-deps-linux.sha256
bazelbuild_bazelisk,buildkite,---
platforms:
  ubuntu1804:
    build_targets:
      - //...
    test_targets:
      - //...
    test_flags:
      - --flaky_test_attempts=1
      - --test_output=streamed
  ubuntu2004:
    build_targets:
      - //...
    test_targets:
      - //...
    test_flags:
      - --flaky_test_attempts=1
      - --test_output=streamed
  macos:
    build_targets:
      - //...
    test_targets:
      - //...
    test_flags:
      - --flaky_test_attempts=1
      - --test_output=streamed
  windows:
    build_targets:
      - //...
    test_targets:
      - //...
      # Windows doesn't have a `python3` executable on PATH.
      - -//:py3_bazelisk_test
    test_flags:
      - --flaky_test_attempts=1
      - --test_env=PATH
      - --test_env=PROCESSOR_ARCHITECTURE
      - --test_output=streamed

3rdparty_stout,github-actions,build \
3rdparty_stout,github-actions,test \
p4lang_PI,github-actions,/*
p4lang_PI,github-actions,Build"
p4lang_PI,github-actions,isk-linux-amd64
p4lang_PI,github-actions,cache
p4lang_PI,github-actions,.build/versions/master/output_directories.html
p4lang_PI,github-actions,"
p4lang_PI,github-actions,files change.
p4lang_PI,github-actions,') }}
p4lang_PI,github-actions,-${{ runner.os }}-build-
p4lang_PI,github-actions,isk
p4lang_PI,github-actions,isk/releases/download/v1.4.0/$BAZEL"
p4lang_PI,github-actions,- name: Build and run tests
p4lang_PI,github-actions,test //proto/tests:pi_proto_tests //proto/tests:pi_proto_server_tests
protocolbuffers_upb,github-actions,Tests
protocolbuffers_upb,github-actions,-cache/upb
protocolbuffers_upb,github-actions,, CC: clang, os: ubuntu-20.04, flags: "" }
protocolbuffers_upb,github-actions,, CC: clang, os: ubuntu-20.04, flags: "-c opt" }  # Some warnings only fire with -c opt
protocolbuffers_upb,github-actions,, CC: gcc, os: ubuntu-20.04, flags: "-c opt" }
protocolbuffers_upb,github-actions,, CC: clang, os: ubuntu-20.04, flags: "--//:fasttable_enabled=true -- -cmake:test_generated_files" }
protocolbuffers_upb,github-actions,, CC: clang, os: ubuntu-20.04, flags: "--config=asan -c dbg -- -benchmarks:benchmark -python/..." }
protocolbuffers_upb,github-actions,, CC: clang, os: ubuntu-20.04, flags: "--config=ubsan -c dbg -- -benchmarks:benchmark -python/... -upb/bindings/lua/...", install: "libunwind-dev" }
protocolbuffers_upb,github-actions,, CC: clang, os: ubuntu-20.04, flags: "--copt=-m32 --linkopt=-m32 -- -... benchmarks:benchmark ", install: "g++-multilib" }
protocolbuffers_upb,github-actions,, CC: clang, os: macos-11, flags: "" }
protocolbuffers_upb,github-actions,versions back per https://opensource.google/documentation/policies/cplusplus-support
protocolbuffers_upb,github-actions,-4.1.0-linux-x86_64, CC: clang, os: ubuntu-20.04, flags: "" }
protocolbuffers_upb,github-actions,-5.3.0-linux-x86_64, CC: clang, os: ubuntu-20.04, flags: "" }
protocolbuffers_upb,github-actions,version
protocolbuffers_upb,github-actions,/releases/download/$VERSION/${{ matrix.BAZEL }}
protocolbuffers_upb,github-actions,' }}
protocolbuffers_upb,github-actions,read/write caching
protocolbuffers_upb,github-actions,read-only caching
protocolbuffers_upb,github-actions,/linux@sha256:2bfd061284eff8234f2fcca16d71d43c69ccf3a22206628b54c204a6a9aac277
protocolbuffers_upb,github-actions,-cache/upb --google_default_credentials
protocolbuffers_upb,buildkite,---
tasks:
  ubuntu:
    platform: ubuntu2004
    shell_commands:
    - "sudo apt -y update && sudo apt -y install libreadline-dev cmake rsync"
    build_flags:
    - "--incompatible_disallow_empty_glob"
    test_targets:
    - //...
  macos:
    platform: macos
    build_flags:
    - "--incompatible_disallow_empty_glob"
    test_targets:
    - //...

bazelbuild_bazel-toolchains,github-actions,Authors. All rights reserved.
bazelbuild_bazel-toolchains,github-actions,Authors. All rights reserved.
bazelbuild_bazel-toolchains,buildkite,---
buildifier:
  version: latest
  # Check for issues with the format of our bazel config files.
  # All warnings from https://github.com/bazelbuild/buildtools/blob/master/WARNINGS.md
  # are enabled except:
  # rule-impl-return,uninitialized,return-value,rule-impl-return,unsorted-dict-items,out-of-order-load
  # TODO (suvanjan): Re-enable once issues and https://github.com/bazelbuild/buildtools/issues/575
  # are fixed.
  warnings: "attr-cfg,attr-license,attr-non-empty,attr-output-default,attr-single-file,confusing-name,constant-glob,ctx-actions,ctx-args,depset-iteration,depset-union,dict-concatenation,duplicated-name,filetype,function-docstring,git-repository,http-archive,integer-division,load,load-on-top,module-docstring,name-conventions,native-build,native-package,no-effect,output-group,package-name,package-on-top,positional-args,redefined-variable,repository-name,same-origin-load,string-iteration,unreachable,unused-variable"
tasks:
  presubmit:
    platform: ubuntu1604
    build_targets:
    - "--"
    - "..."
    test_targets:
    - "--"
    - "..."

risc0_risc0,github-actions,isk@6c0030d04c5269c111620b552fe2b7f619849944
risc0_risc0,github-actions,isk test //... $CONFIG --config=cpu
tensorflow_recommenders-addons,github-actions,:
tensorflow_recommenders-addons,github-actions,runs-on: ubuntu-18.04
tensorflow_recommenders-addons,github-actions,isk.sh ./
tensorflow_recommenders-addons,github-actions,test --local_ram_resources=4096 -c opt -k --test_timeout 300,450,1200,3600 --test_output=errors //tensorflow_recommenders_addons/...
tensorflow_recommenders-addons,github-actions,# Ubuntu bazel is run inside of the docker image
tensorflow_recommenders-addons,github-actions,isk.sh ./
tensorflow_recommenders-addons,github-actions,]
tensorflow_recommenders-addons,github-actions,]
tensorflow_recommenders-addons,github-actions,-format:
tensorflow_recommenders-addons,github-actions,code format
tensorflow_recommenders-addons,github-actions,-format
pytorch_TensorRT,github-actions,version
pytorch_TensorRT,github-actions,_info
pytorch_TensorRT,github-actions,version)"
pytorch_TensorRT,github-actions,run: |
pytorch_TensorRT,github-actions,chmod a+x /usr/bin/bazel
pytorch_TensorRT,circleci,:
pytorch_TensorRT,circleci,"
pytorch_TensorRT,circleci,command: |
pytorch_TensorRT,circleci,sudo chmod a+x /usr/bin/bazel
pytorch_TensorRT,circleci,-version:
pytorch_TensorRT,circleci,-platform:
pytorch_TensorRT,circleci,:
pytorch_TensorRT,circleci,-platform >>
pytorch_TensorRT,circleci,-version >>
pytorch_TensorRT,circleci,version)" -w /workspace << parameters.torch-base-image >>
pytorch_TensorRT,circleci,version)"
pytorch_TensorRT,circleci,"
pytorch_TensorRT,circleci,-project/external/tensorrt/lib/:/usr/local/cuda/lib64/:$LD_LIBRARY_PATH"
pytorch_TensorRT,circleci,query 'kind(cc_*, tests(//tests))' --noshow_progress >> /tmp/test_manifest.txt
pytorch_TensorRT,circleci,test $(cat /tmp/node_test_manifest.txt) --test_arg=--gtest_output=xml:/tmp/artifacts/test_results/ --jobs 2 --config ci_testing --config pre_cxx11_abi --noshow_progress
pytorch_TensorRT,circleci,-testlogs /tmp/testlogs
pytorch_TensorRT,circleci,-version >>
pytorch_TensorRT,circleci,-platform: "arm64"
pytorch_TensorRT,circleci,-version >>
pytorch_TensorRT,circleci,-platform: "x86_64"
pytorch_TensorRT,circleci,-version >>
pytorch_TensorRT,circleci,-platform: "x86_64"
pytorch_TensorRT,circleci,-version >>
pytorch_TensorRT,circleci,-platform: "x86_64"
pytorch_TensorRT,circleci,build //:libtorchtrt -c opt --noshow_progress
pytorch_TensorRT,circleci,-bin/libtorchtrt.tar.gz ~/project/py/dist/libtorchtrt-${TORCHTRT_VERSION}-cudnn${CUDNN_VERSION}-tensorrt${TRT_VERSION}-cuda${CUDA_VERSION}-libtorch${TORCH_VERSION}-x86_64-linux.tar.gz
pytorch_TensorRT,circleci,-version >>
pytorch_TensorRT,circleci,-platform: "arm64"
pytorch_TensorRT,circleci,build //:libtorchtrt -c opt --noshow_progress
pytorch_TensorRT,circleci,-bin/libtorchtrt.tar.gz ~/project/py/dist/libtorchtrt-${TORCHTRT_VERSION}-cudnn${CUDNN_VERSION}-tensorrt${TRT_VERSION}-cuda${CUDA_VERSION}-libtorch${TORCH_VERSION}-aarch64-linux-jp<< parameters.jetpack-version >>.tar.gz
pytorch_TensorRT,circleci,-platform: "x86_64"
pytorch_TensorRT,circleci,-version:
realm_SwiftLint,buildkite,"
realm_SwiftLint,buildkite,build :swiftlint
realm_SwiftLint,buildkite,test --test_output=errors //Tests/...
realm_SwiftLint,buildkite,build //tools:danger
realm_SwiftLint,buildkite,-bin/tools/danger --verbose
realm_SwiftLint,buildkite,test -c opt --test_output=streamed --test_timeout=1800 --spawn_strategy=local analyze
realm_SwiftLint,buildkite,test --test_output=streamed --build_tests_only --features=tsan --test_timeout=1000 //Tests/...
realm_SwiftLint,buildkite,build --config=release --features=tsan swiftlint
realm_SwiftLint,buildkite,-bin/swiftlint --progress --lenient
realm_SwiftLint,buildkite,-bin/swiftlint --progress --lenient
morganstanley_modern-cpp-kafka,github-actions,Build'
morganstanley_modern-cpp-kafka,github-actions,-build:
morganstanley_modern-cpp-kafka,github-actions,build //...
morganstanley_modern-cpp-kafka,github-actions,test  //... --test_env=KAFKA_BROKER_LIST=$KAFKA_BROKER_LIST --test_tag_filters="${TEST_LABELS}" --test_verbose_timeout_warnings --test_output=all
alibaba_async_simple,github-actions,:
alibaba_async_simple,github-actions,build --cxxopt=/std:c++20 ...
alibaba_async_simple,github-actions,test --cxxopt=/std:c++20 --test_output=errors ...
alibaba_async_simple,github-actions,on:
alibaba_async_simple,github-actions,.build/install/ubuntu
alibaba_async_simple,github-actions,build --action_env=CXX=clang++ --action_env=CC=clang ...
alibaba_async_simple,github-actions,test --action_env=CXX=clang++ --action_env=CC=clang --test_output=errors ...
alibaba_async_simple,github-actions,:
alibaba_async_simple,github-actions,build --define=ASYNC_SIMPLE_DISABLE_AIO=true ...
alibaba_async_simple,github-actions,test --define=ASYNC_SIMPLE_DISABLE_AIO=true --test_output=errors ...
bazelbuild_rules_foreign_cc,github-actions,build/rules_foreign_cc/main/.github/docs-${{ matrix.ref }}.patch > ${{ github.workspace }}/.github/docs-${{ matrix.ref }}.patch
bazelbuild_rules_foreign_cc,github-actions,isk
bazelbuild_rules_foreign_cc,github-actions,isk-linux-amd64"
bazelbuild_rules_foreign_cc,github-actions,"
bazelbuild_rules_foreign_cc,github-actions,"
bazelbuild_rules_foreign_cc,github-actions," run //:generate_docs
bazelbuild_rules_foreign_cc,github-actions," clean
bazelbuild_rules_foreign_cc,buildkite,---
tasks:
  ubuntu2004:
    platform: ubuntu2004
    build_targets:
      - "//..."
    test_targets:
      - "//..."
  rbe_ubuntu1604:
    platform: rbe_ubuntu1604
    build_targets:
      - "//..."
    test_targets:
      - "//..."
  macos:
    platform: macos
    build_targets:
      - "//..."
    test_targets:
      - "//..."
  windows:
    platform: windows
    build_targets:
      - "//..."
    test_targets:
      - "//..."
      # TODO: https://github.com/bazelbuild/rules_foreign_cc/issues/495
      - "-//test:shell_method_symlink_contents_to_dir_test"
      - "-//test:shell_script_inner_fun_test"
  ubuntu1804_examples_standalone:
    name: Examples (spawn_strategy=standalone)
    platform: ubuntu1804
    working_directory: examples
    linux_targets: &linux_targets_standalone
      - "//..."
      - "//:third_party_examples_linux_tests"
    build_targets: *linux_targets_standalone
    build_flags:
      - "-c"
      - "dbg"
      - "--spawn_strategy=standalone"
      - "-k"
    test_targets: *linux_targets_standalone
    test_flags:
      - "-c"
      - "dbg"
      - "--spawn_strategy=standalone"
  ubuntu2004_examples:
    name: Examples
    platform: ubuntu2004
    working_directory: examples
    linux_targets: &linux_targets
      - "//..."
      - "//:third_party_examples_linux_tests"
    build_targets: *linux_targets
    test_targets: *linux_targets
  rbe_ubuntu1604_examples:
    name: Examples
    platform: rbe_ubuntu1604
    working_directory: examples
    rbe_targets: &rbe_targets
      - "//..."
      - "//:third_party_examples_linux_rbe_tests"
      # Gives error: zipalign: error while loading shared libraries: /usr/local/lib/libc++.so: file too short
      - "-//cmake_android/..."
    build_targets: *rbe_targets
    test_targets: *rbe_targets
  macos_examples_standalone:
    name: Examples (spawn_strategy=standalone)
    platform: macos
    working_directory: examples
    macos_targets: &macos_targets_standalone
      - "//..."
      - "//:third_party_examples_macos_tests"
    build_targets: *macos_targets_standalone
    build_flags:
      - "-c"
      - "dbg"
      - "--spawn_strategy=standalone"
      - "-k"
      - "--noincompatible_enable_cc_toolchain_resolution"
    test_targets: *macos_targets_standalone
    test_flags:
      - "-c"
      - "dbg"
      - "--spawn_strategy=standalone"
      - "--noincompatible_enable_cc_toolchain_resolution"
  macos_examples:
    name: Examples
    platform: macos
    working_directory: examples
    macos_targets: &macos_targets
      - "//..."
      - "//:third_party_examples_macos_tests"
      # Remove tests that depend on shared libraries, which currently doesn't work on sandboxed MacOS - https://github.com/bazelbuild/bazel/issues/10254
      - "-@rules_foreign_cc_examples_third_party//curl:curl_test"
      - "-@rules_foreign_cc_examples_third_party//openssl:openssl_test"
    build_targets: *macos_targets
    build_flags:
      - "--noincompatible_enable_cc_toolchain_resolution"
    test_targets: *macos_targets
    test_flags:
      - "--noincompatible_enable_cc_toolchain_resolution"
  windows_examples:
    name: Examples
    platform: windows
    # Ping MSVC version to 2017, since LLVM 11.0.0 is not yet available on Bazel CI.
    # TODO: remove after https://github.com/bazelbuild/continuous-integration/pull/1433 is deployed.
    environment:
      BAZEL_VC: "C:\\Program Files (x86)\\Microsoft Visual Studio\\2017\\BuildTools\\VC"
    working_directory: examples
    windows_targets: &windows_targets
      - "//..."
      - "//:third_party_examples_windows_tests"
      # TODO: Support all targets on windows
      - "-//cmake_android/..."
      # TODO: Fix `error C2118: negative subscript`
      - "-//cmake_defines/..."
      # TODO: Fix linker error
      - "-//cmake_synthetic/..."
      # TODO: Fix `error LNK2019: unresolved external symbol hello_func`
      - "-//cmake_hello_world_lib/shared/..."
      # TODO: Fix `CreateProcess failed: The system cannot find the file specified.`
      - "-//ninja_simple/..."
      # TODO: The use of Visual Studio generator targets are broken. These should
      # be re-enabled pending a resolution to
      # https://github.com/bazelbuild/continuous-integration/issues/1204
      - "-//cmake_hello_world_lib/static:libhello"
      - "-//cmake_hello_world_lib/static:libhello_example"
      - "-//cmake_hello_world_lib/static:test_hello"
      - "-//cmake_with_data/..."
    build_targets: *windows_targets
    test_targets: *windows_targets
    test_flags:
      - "--enable_runfiles"
  rbe_ubuntu1604_flags:
    name: Flags
    platform: rbe_ubuntu1604
    working_directory: test/standard_cxx_flags_test
    test_targets:
      - "//:flags_test"
  ubuntu2004_flags:
    name: Flags
    platform: ubuntu2004
    working_directory: test/standard_cxx_flags_test
    test_targets:
      - "//:flags_test"
  macos_flags:
    name: Flags
    platform: macos
    working_directory: test/standard_cxx_flags_test
    test_targets:
      - "//:flags_test"
  windows_flags:
    name: Flags
    platform: windows
    working_directory: test/standard_cxx_flags_test
    test_targets:
      - "//:flags_test"
  rbe_ubuntu1604_detect_root:
    name: Detect root
    platform: rbe_ubuntu1604
    working_directory: test/detect_root_test
    test_targets:
      - "//:tests"
  ubuntu2004_detect_root:
    name: Detect root
    platform: ubuntu2004
    working_directory: test/detect_root_test
    test_targets:
      - "//:tests"
  macos_detect_root:
    name: Detect root
    platform: macos
    working_directory: test/detect_root_test
    test_targets:
      - "//:tests"
  windows_detect_root:
    name: Detect root
    platform: windows
    working_directory: test/detect_root_test
    test_targets:
      - "//:tests"
  docs_linux:
    name: Docs
    platform: ubuntu2004
    working_directory: docs
    build_targets:
      - //...
  min_supported_version:
    name: "Minimum Supported Version"
    bazel: "4.0.0"
    platform: ubuntu1804
    build_targets:
      - "//..."
    test_targets:
      - "//..."
  min_supported_version_examples:
    name: "Minimum Supported Version Examples"
    bazel: "4.0.0"
    platform: ubuntu1804
    working_directory: examples
    min_supported_targets: &min_supported_targets
      - "//..."
    build_targets: *min_supported_targets
    test_targets: *min_supported_targets

buildifier:
  version: "4.2.5" 
  # keep this argument in sync with .pre-commit-config.yaml
  warnings: "all"

jbeder_yaml-cpp,github-actions,-build:
jbeder_yaml-cpp,github-actions,build :all
jbeder_yaml-cpp,github-actions,test test
bazelbuild_rules_kotlin,github-actions,isk
bazelbuild_rules_kotlin,github-actions,isk@v1
bazelbuild_rules_kotlin,github-actions,cache
bazelbuild_rules_kotlin,github-actions,"
bazelbuild_rules_kotlin,github-actions,isk build //:rules_kotlin_release
bazelbuild_rules_kotlin,github-actions,-bin/rules_kotlin_release.tgz.sha256
bazelbuild_rules_kotlin,github-actions,-bin/rules_kotlin_release.tgz
bazelbuild_rules_kotlin,github-actions,-bin/rules_kotlin_release.tgz
bazelbuild_rules_kotlin,github-actions,-bin/rules_kotlin_release.tgz.sha256
bazelbuild_rules_kotlin,github-actions,-bin/rules_kotlin_release.tgz.sha256
bazelbuild_rules_kotlin,buildkite,---
validate_config: 1
bazel: 5.3.1
buildifier:
  version: 5.1.0
  # no lint warnings for the moment. They are basically a smoke alarm in hell.
  # keep this argument in sync with .pre-commit-config.yaml
  warnings: "-confusing-name,-constant-glob,-duplicated-name,-function-docstring,-function-docstring-args,-function-docstring-header,-module-docstring,-name-conventions,-no-effect,-constant-glob,-provider-params,-print,-rule-impl-return,-bzl-visibility,-unnamed-macro,-uninitialized,-unreachable"
tasks:
  ubuntu1804:
    test_targets:
      - "//:all_tests"
    build_targets:
      - "//:rules_kotlin_release"
  rbe_ubuntu1604:
    test_targets:
      - "--"
      - "//src/test/kotlin/io/bazel/kotlin/builder:builder_tests"
      # KotlinJvmDaggerExampleTest and KotlinJvmKaptAssertionTest are not remote
